Frame ID,QR id,QR 2D,QR 3D
471,7,"[[413.0, 276.0], [411.0, 264.0], [422.0, 263.0], [423.0, 275.0]]","[10.761773849632494, -149.0017967916197, 2.7764375708101583, -97.00327103259346]"
475,4,"[[527.0, 205.0], [542.0, 205.0], [542.0, 221.0], [527.0, 221.0]]","[8.287379354701761, -173.9951508204747, -14.63588066509008, -2.122019927284635]"
475,7,"[[435.0, 272.0], [435.0, 259.0], [447.0, 259.0], [447.0, 272.0]]","[10.00522253140818, 158.99916012400715, 5.0166739687005935, -89.88850230473022]"
476,4,"[[535.0, 218.0], [550.0, 217.0], [551.0, 233.0], [535.0, 234.0]]","[8.237526609061462, -176.44262348901162, 19.320035295338403, -1.00432859785885]"
476,7,"[[441.0, 286.0], [442.0, 273.0], [453.0, 273.0], [454.0, 286.0]]","[10.642980450944808, -174.62641410573158, 4.079096606296861, -89.99074060791853]"
478,4,"[[506.0, 220.0], [523.0, 219.0], [523.0, 235.0], [506.0, 236.0]]","[7.641342550248308, 165.48232496264956, 10.395917348453874, -1.9020500637776454]"
478,7,"[[408.0, 291.0], [408.0, 278.0], [421.0, 277.0], [422.0, 291.0]]","[9.552700347319513, 176.84991764475515, -1.3058336806929385, -91.99851918205547]"
479,4,"[[494.0, 215.0], [511.0, 215.0], [512.0, 231.0], [495.0, 232.0]]","[7.622848705257022, 170.67996319747655, -4.962804102634941, -2.254772509605836]"
479,7,"[[396.0, 289.0], [396.0, 276.0], [409.0, 275.0], [410.0, 289.0]]","[9.562046999678564, 177.04918253771606, -1.2785467609375667, -92.01257601829325]"
480,4,"[[479.0, 232.0], [496.0, 232.0], [496.0, 249.0], [479.0, 250.0]]","[7.44336101771358, -167.20741768519184, -11.822016136501228, -3.077601788873947]"
480,7,"[[380.0, 310.0], [379.0, 297.0], [393.0, 295.0], [394.0, 309.0]]","[9.574956614262835, -178.5224732806875, -1.397060114311993, -95.29928742230531]"
481,4,"[[476.0, 238.0], [493.0, 236.0], [494.0, 254.0], [476.0, 255.0]]","[7.244859985114639, 172.1354849822877, 14.062548522315767, -3.3129104684398003]"
482,4,"[[467.0, 193.0], [485.0, 192.0], [486.0, 210.0], [468.0, 212.0]]","[7.116432178870217, -164.11046969062804, -9.66797797222564, -6.290759801263756]"
483,4,"[[462.0, 202.0], [480.0, 202.0], [480.0, 221.0], [462.0, 221.0]]","[7.18261366569709, -172.40130162338224, -7.6425693840437, -1.1361436977160515]"
483,7,"[[356.0, 279.0], [356.0, 265.0], [371.0, 265.0], [371.0, 280.0]]","[8.714703424817568, -179.0652371791527, 19.32831854721398, -87.87761278837324]"
484,10,"[[899.0, 213.0], [912.0, 210.0], [912.0, 251.0], [898.0, 252.0]]","[3.65278595477126, -28.96939185350019, 81.16719757809923, 150.05574484032115]"
484,4,"[[467.0, 214.0], [485.0, 214.0], [485.0, 233.0], [467.0, 234.0]]","[6.739516738117855, -167.93833816983803, -20.238953156260795, -4.465055303256303]"
484,7,"[[360.0, 294.0], [359.0, 278.0], [374.0, 278.0], [375.0, 293.0]]","[8.357675678308688, -157.721126569052, 0.22494612921887552, -93.61441981115762]"
485,10,"[[901.0, 235.0], [916.0, 232.0], [916.0, 275.0], [901.0, 276.0]]","[3.4671363040636844, -23.610534391646638, 82.44762991661068, 155.18324357263975]"
485,4,"[[449.0, 242.0], [468.0, 241.0], [469.0, 261.0], [450.0, 261.0]]","[6.641296634582929, -167.33036559829463, 13.78650984466604, 0.04512906109671864]"
485,7,"[[341.0, 324.0], [340.0, 308.0], [356.0, 308.0], [356.0, 323.0]]","[8.359646665709905, -163.5274132060682, 5.698585892712753, -91.02774846104487]"
486,10,"[[907.0, 211.0], [924.0, 208.0], [923.0, 254.0], [905.0, 256.0]]","[3.225969379834165, -36.437025481149796, 83.08334825892575, 143.74678500450312]"
